time	V(vb)	V(n002)	V(n004)
3.930088616032536e-004	2.194011e+000	-4.261296e-001	1.529469e+000
3.941946874961107e-004	2.219746e+000	-3.567237e-001	1.554764e+000
3.948922321389679e-004	2.235135e+000	-3.152451e-001	1.569894e+000
3.955897767818250e-004	2.250680e+000	-2.733645e-001	1.585179e+000
3.962873214246822e-004	2.266381e+000	-2.310817e-001	1.600620e+000
3.969848660675393e-004	2.282237e+000	-1.883969e-001	1.616217e+000
3.976824107103964e-004	2.298249e+000	-1.453100e-001	1.631969e+000
3.983799553532536e-004	2.314417e+000	-1.018210e-001	1.647877e+000
3.990774999961107e-004	2.330740e+000	-5.792993e-002	1.663940e+000
3.994262723175393e-004	2.338893e+000	-3.601427e-002	1.671964e+000
3.997750446389679e-004	2.347044e+000	-1.410759e-002	1.679987e+000
4.001238169603964e-004	2.355194e+000	7.790087e-003	1.688008e+000
4.004725892818250e-004	2.363341e+000	2.967878e-002	1.696029e+000
4.008213616032536e-004	2.371486e+000	5.155847e-002	1.704047e+000
4.011701339246822e-004	2.379630e+000	7.342918e-002	1.712065e+000
4.015189062461107e-004	2.387772e+000	9.529089e-002	1.720082e+000
4.023559598175393e-004	2.407349e+000	1.478404e-001	1.739360e+000
4.031930133889679e-004	2.426651e+000	1.996292e-001	1.758370e+000
4.040300669603964e-004	2.445679e+000	2.506573e-001	1.777113e+000
4.048671205318250e-004	2.464433e+000	3.009247e-001	1.795588e+000
4.057041741032536e-004	2.482911e+000	3.504315e-001	1.813795e+000
4.065412276746822e-004	2.501116e+000	3.991776e-001	1.831734e+000
4.073782812461107e-004	2.519045e+000	4.471630e-001	1.849406e+000
4.087733705318250e-004	2.548150e+000	5.249958e-001	1.878099e+000
4.101684598175393e-004	2.575303e+000	5.975255e-001	1.904870e+000
4.115635491032536e-004	2.600503e+000	6.647520e-001	1.929720e+000
4.129586383889679e-004	2.623751e+000	7.266754e-001	1.952647e+000
4.143537276746822e-004	2.645047e+000	7.832957e-001	1.973653e+000
4.157488169603964e-004	2.664390e+000	8.346128e-001	1.992736e+000
4.171439062461107e-004	2.681781e+000	8.806267e-001	2.009897e+000
4.197945758889679e-004	2.707013e+000	9.468319e-001	2.034796e+000
4.224452455318250e-004	2.722302e+000	9.862933e-001	2.049885e+000
4.250959151746822e-004	2.727651e+000	9.990111e-001	2.055164e+000
4.277465848175394e-004	2.723057e+000	9.849853e-001	2.050632e+000
4.303972544603964e-004	2.708523e+000	9.442158e-001	2.036290e+000
4.330479241032536e-004	2.684046e+000	8.767027e-001	2.012138e+000
4.356985937461108e-004	2.649628e+000	7.824458e-001	1.978175e+000
4.368844196389679e-004	2.631529e+000	7.331147e-001	1.960320e+000
4.380702455318251e-004	2.612191e+000	6.804994e-001	1.941245e+000
4.392560714246822e-004	2.591612e+000	6.246000e-001	1.920950e+000
4.404418973175393e-004	2.569793e+000	5.654165e-001	1.899436e+000
4.416277232103965e-004	2.546733e+000	5.029488e-001	1.876702e+000
4.428135491032536e-004	2.522434e+000	4.371970e-001	1.852749e+000
4.439993749961108e-004	2.496895e+000	3.681611e-001	1.827576e+000
4.446969196389679e-004	2.481604e+000	3.268670e-001	1.812508e+000
4.453944642818251e-004	2.466147e+000	2.851479e-001	1.797278e+000
4.460920089246822e-004	2.450523e+000	2.430037e-001	1.781886e+000
4.467895535675393e-004	2.434732e+000	2.004345e-001	1.766331e+000
4.474870982103965e-004	2.418775e+000	1.574402e-001	1.750614e+000
4.481846428532536e-004	2.402651e+000	1.140209e-001	1.734734e+000
4.488821874961108e-004	2.386360e+000	7.017650e-002	1.718693e+000
4.513235937461108e-004	2.329348e+000	-8.306802e-002	1.662571e+000
4.520908928532536e-004	2.311392e+000	-1.312693e-001	1.644902e+000
4.528581919603965e-004	2.293640e+000	-1.788929e-001	1.627436e+000
4.536254910675393e-004	2.276093e+000	-2.259387e-001	1.610175e+000
4.543927901746822e-004	2.258750e+000	-2.724067e-001	1.593117e+000
4.551600892818251e-004	2.241611e+000	-3.182970e-001	1.576263e+000
4.559273883889679e-004	2.224677e+000	-3.636096e-001	1.559613e+000
4.566946874961108e-004	2.207947e+000	-4.083444e-001	1.543166e+000
4.580200223175393e-004	2.179631e+000	-4.839767e-001	1.515339e+000
4.593453571389679e-004	2.152964e+000	-5.551145e-001	1.489138e+000
4.606706919603965e-004	2.127946e+000	-6.217577e-001	1.464563e+000
4.619960267818251e-004	2.104578e+000	-6.839064e-001	1.441615e+000
4.633213616032536e-004	2.082859e+000	-7.415605e-001	1.420291e+000
