time	V(emisor)	V(n004)
2.573359374873656e-03	1.171657e+00	-4.447817e-02
2.587310267730799e-03	1.165949e+00	-5.227305e-02
2.601261160587941e-03	1.160784e+00	-5.953907e-02
2.615212053445084e-03	1.156160e+00	-6.627624e-02
2.629162946302227e-03	1.152079e+00	-7.248454e-02
2.643113839159369e-03	1.148541e+00	-7.816399e-02
2.657064732016512e-03	1.145544e+00	-8.331458e-02
2.671015624873654e-03	1.143090e+00	-8.793630e-02
2.693337053445082e-03	1.140685e+00	-9.377565e-02
2.715658482016511e-03	1.139888e+00	-9.769278e-02
2.737979910587939e-03	1.140697e+00	-9.968771e-02
2.760301339159367e-03	1.143114e+00	-9.976044e-02
2.782622767730795e-03	1.147139e+00	-9.791095e-02
2.804944196302223e-03	1.152770e+00	-9.413927e-02
2.827265624873651e-03	1.160009e+00	-8.844537e-02
2.839123883802222e-03	1.164373e+00	-8.465917e-02
2.850982142730793e-03	1.169007e+00	-8.046799e-02
2.862840401659364e-03	1.173911e+00	-7.587184e-02
2.874698660587936e-03	1.179085e+00	-7.087072e-02
2.886556919516507e-03	1.184528e+00	-6.546463e-02
2.898415178445078e-03	1.190241e+00	-5.965357e-02
2.910273437373649e-03	1.196224e+00	-5.343754e-02
2.917248883802221e-03	1.199796e+00	-4.966376e-02
2.924224330230792e-03	1.203399e+00	-4.581351e-02
2.931199776659363e-03	1.207034e+00	-4.188681e-02
2.938175223087934e-03	1.210701e+00	-3.788364e-02
2.945150669516506e-03	1.214399e+00	-3.380401e-02
2.952126115945077e-03	1.218130e+00	-2.964792e-02
2.959101562373648e-03	1.221892e+00	-2.541536e-02
2.962589285587934e-03	1.223769e+00	-2.328740e-02
2.966077008802219e-03	1.225645e+00	-2.115084e-02
2.969564732016505e-03	1.227520e+00	-1.900567e-02
2.973052455230790e-03	1.229393e+00	-1.685189e-02
2.976540178445076e-03	1.231265e+00	-1.468951e-02
2.980027901659362e-03	1.233135e+00	-1.251852e-02
2.983515624873648e-03	1.235004e+00	-1.033893e-02
2.989095982016505e-03	1.237990e+00	-6.835073e-03
2.994676339159362e-03	1.240952e+00	-3.333566e-03
3.000256696302219e-03	1.243889e+00	1.655913e-04
3.005837053445076e-03	1.246802e+00	3.662398e-03
3.011417410587933e-03	1.249690e+00	7.156855e-03
3.016997767730790e-03	1.252554e+00	1.064896e-02
3.022578124873647e-03	1.255394e+00	1.413872e-02
3.031646205230789e-03	1.259948e+00	1.979697e-02
3.040714285587932e-03	1.264356e+00	2.534698e-02
3.049782365945075e-03	1.268618e+00	3.078875e-02
3.058850446302218e-03	1.272734e+00	3.612228e-02
3.067918526659360e-03	1.276704e+00	4.134756e-02
3.076986607016503e-03	1.280528e+00	4.646461e-02
3.086054687373645e-03	1.284205e+00	5.147342e-02
3.100703124873645e-03	1.289770e+00	5.926723e-02
3.115351562373645e-03	1.294703e+00	6.642383e-02
3.129999999873644e-03	1.299003e+00	7.294323e-02
3.144648437373644e-03	1.302670e+00	7.882542e-02
3.159296874873644e-03	1.305705e+00	8.407041e-02
3.173945312373644e-03	1.308108e+00	8.867819e-02
3.188593749873643e-03	1.309878e+00	9.264876e-02
3.209520089159357e-03	1.310952e+00	9.677449e-02
3.230446428445071e-03	1.310636e+00	9.921072e-02
3.251372767730785e-03	1.308929e+00	9.995743e-02
3.272299107016499e-03	1.305832e+00	9.901464e-02
3.293225446302213e-03	1.301344e+00	9.638234e-02
3.314151785587926e-03	1.295466e+00	9.206053e-02
3.335078124873640e-03	1.288197e+00	8.604921e-02
3.346936383802211e-03	1.283609e+00	8.194704e-02
3.358794642730782e-03	1.278770e+00	7.745877e-02
3.370652901659354e-03	1.273681e+00	7.258438e-02
3.382511160587925e-03	1.268341e+00	6.732389e-02
3.394369419516496e-03	1.262750e+00	6.167728e-02
3.406227678445067e-03	1.256908e+00	5.564457e-02
3.418085937373638e-03	1.250816e+00	4.922574e-02
3.424363839159352e-03	1.247559e+00	4.574068e-02
3.430641740945066e-03	1.244281e+00	4.219851e-02
3.436919642730781e-03	1.240981e+00	3.859921e-02
3.443197544516495e-03	1.237661e+00	3.494280e-02
3.449475446302209e-03	1.234319e+00	3.122926e-02
3.455753348087923e-03	1.230956e+00	2.745860e-02
3.462031249873637e-03	1.227572e+00	2.363082e-02
3.476679687373637e-03	1.219702e+00	1.460021e-02
3.483655133802208e-03	1.215951e+00	1.023073e-02
3.490630580230779e-03	1.212236e+00	5.862562e-03
3.497606026659351e-03	1.208558e+00	1.495715e-03
3.504581473087922e-03	1.204915e+00	-2.869816e-03
3.511556919516494e-03	1.201309e+00	-7.234030e-03
3.518532365945065e-03	1.197739e+00	-1.159693e-02
3.525507812373636e-03	1.194206e+00	-1.595851e-02
3.535273437373636e-03	1.189345e+00	-2.203610e-02
3.545039062373636e-03	1.184662e+00	-2.797638e-02
3.554804687373635e-03	1.180158e+00	-3.377936e-02
3.564570312373635e-03	1.175833e+00	-3.944503e-02
3.574335937373635e-03	1.171687e+00	-4.497340e-02
3.584101562373635e-03	1.167720e+00	-5.036447e-02
3.593867187373635e-03	1.163931e+00	-5.561823e-02
3.609213169516492e-03	1.158429e+00	-6.350175e-02
3.624559151659348e-03	1.153642e+00	-7.064955e-02
3.639905133802205e-03	1.149571e+00	-7.706164e-02
3.655251115945062e-03	1.146216e+00	-8.273801e-02
3.670597098087919e-03	1.143577e+00	-8.767866e-02
3.685943080230776e-03	1.141654e+00	-9.188360e-02
3.701289062373632e-03	1.140446e+00	-9.535281e-02
3.720820312373632e-03	1.140254e+00	-9.829297e-02
3.740351562373631e-03	1.141256e+00	-9.976469e-02
