time	V(vb)	V(n002)
3.029558482217606e-003	2.422170e+000	1.845948e-001
3.035836384003320e-003	2.436007e+000	2.231177e-001
3.042114285789034e-003	2.449751e+000	2.613840e-001
3.048392187574748e-003	2.463401e+000	2.993937e-001
3.060250446503319e-003	2.488926e+000	3.704746e-001
3.072108705431890e-003	2.513389e+000	4.386033e-001
3.083966964360461e-003	2.536792e+000	5.037797e-001
3.095825223289033e-003	2.559133e+000	5.660037e-001
3.107683482217604e-003	2.580414e+000	6.252754e-001
3.119541741146175e-003	2.600634e+000	6.815948e-001
3.131400000074746e-003	2.619792e+000	7.349619e-001
3.153023884003317e-003	2.651056e+000	8.220451e-001
3.174647767931888e-003	2.676080e+000	8.917158e-001
3.196271651860459e-003	2.694862e+000	9.439739e-001
3.217895535789030e-003	2.707405e+000	9.788195e-001
3.239519419717601e-003	2.713707e+000	9.962525e-001
3.261143303646172e-003	2.713769e+000	9.962730e-001
3.282767187574743e-003	2.707591e+000	9.788810e-001
3.298810714360457e-003	2.698033e+000	9.520922e-001
3.314854241146171e-003	2.685419e+000	9.167887e-001
3.330897767931885e-003	2.669748e+000	8.729704e-001
3.346941294717599e-003	2.651019e+000	8.206374e-001
3.362984821503313e-003	2.629233e+000	7.597897e-001
3.379028348289027e-003	2.604390e+000	6.904273e-001
3.395071875074741e-003	2.576490e+000	6.125501e-001
3.404837500074740e-003	2.558521e+000	5.624148e-001
3.414603125074740e-003	2.539969e+000	5.106675e-001
3.424368750074740e-003	2.520835e+000	4.573082e-001
3.434134375074740e-003	2.501118e+000	4.023371e-001
3.443900000074739e-003	2.480818e+000	3.457539e-001
3.453665625074739e-003	2.459936e+000	2.875589e-001
3.463431250074739e-003	2.438471e+000	2.277519e-001
3.467616517931882e-003	2.429236e+000	2.020254e-001
3.471801785789025e-003	2.419965e+000	1.762041e-001
3.475987053646167e-003	2.410660e+000	1.502879e-001
3.480172321503310e-003	2.401320e+000	1.242769e-001
3.484357589360453e-003	2.391945e+000	9.817102e-002
3.488542857217596e-003	2.382534e+000	7.197026e-002
3.492728125074738e-003	2.373089e+000	4.567464e-002
3.496215848289024e-003	2.365213e+000	2.374799e-002
3.499703571503310e-003	2.357340e+000	1.836224e-003
3.503191294717596e-003	2.349473e+000	-2.006066e-002
3.506679017931881e-003	2.341610e+000	-4.194267e-002
3.510166741146167e-003	2.333752e+000	-6.380980e-002
3.513654464360452e-003	2.325899e+000	-8.566205e-002
3.517142187574738e-003	2.318050e+000	-1.074994e-001
3.525512723289024e-003	2.299190e+000	-1.599654e-001
3.533883259003309e-003	2.280611e+000	-2.116383e-001
3.542253794717595e-003	2.262314e+000	-2.625180e-001
3.550624330431880e-003	2.244298e+000	-3.126046e-001
3.558994866146165e-003	2.226563e+000	-3.618981e-001
3.567365401860451e-003	2.209110e+000	-4.103985e-001
3.575735937574737e-003	2.191938e+000	-4.581057e-001
3.589686830431879e-003	2.164107e+000	-5.353964e-001
3.603637723289022e-003	2.138203e+000	-6.073173e-001
3.617588616146164e-003	2.114226e+000	-6.738684e-001
3.631539509003307e-003	2.092174e+000	-7.350497e-001
3.645490401860449e-003	2.072050e+000	-7.908612e-001
3.659441294717592e-003	2.053852e+000	-8.413029e-001
3.673392187574735e-003	2.037580e+000	-8.863748e-001
3.699898884003306e-003	2.014382e+000	-9.505645e-001
3.726405580431876e-003	2.000810e+000	-9.880419e-001
3.752912276860447e-003	1.996862e+000	-9.988071e-001
3.779418973289018e-003	2.002538e+000	-9.828600e-001
3.805925669717589e-003	2.017840e+000	-9.402007e-001
3.832432366146160e-003	2.042766e+000	-8.708291e-001
3.858939062574731e-003	2.077317e+000	-7.747452e-001
3.870797321503302e-003	2.095311e+000	-7.247164e-001
3.882655580431873e-003	2.114464e+000	-6.714580e-001
3.894513839360444e-003	2.134777e+000	-6.149702e-001
3.906372098289015e-003	2.156251e+000	-5.552528e-001
3.918230357217586e-003	2.178885e+000	-4.923060e-001
3.930088616146158e-003	2.202680e+000	-4.261296e-001
3.941946875074729e-003	2.227634e+000	-3.567237e-001
3.948922321503300e-003	2.242546e+000	-3.152451e-001
3.955897767931872e-003	2.257601e+000	-2.733645e-001
3.962873214360443e-003	2.272799e+000	-2.310817e-001
