time	V(n002)	V(n003)
2.484776116032534e-004	9.571522e-002	3.828245e-002
2.491751562461106e-004	5.180326e-002	2.213128e-002
2.495239285675391e-004	2.988169e-002	1.406542e-002
2.498727008889677e-004	7.972060e-003	6.002072e-003
2.502214732103963e-004	-1.392564e-002	-2.058757e-003
2.505702455318249e-004	-3.581140e-002	-1.011707e-002
2.509190178532534e-004	-5.768522e-002	-1.817287e-002
2.512677901746820e-004	-7.954711e-002	-2.622615e-002
2.516165624961106e-004	-1.013971e-001	-3.427691e-002
2.524536160675391e-004	-1.539058e-001	-5.363222e-002
2.532906696389677e-004	-2.056376e-001	-7.271181e-002
2.541277232103963e-004	-2.565925e-001	-9.151568e-002
2.549647767818249e-004	-3.067705e-001	-1.100438e-001
2.558018303532534e-004	-3.561715e-001	-1.282963e-001
2.566388839246820e-004	-4.047957e-001	-1.462730e-001
2.574759374961106e-004	-4.526429e-001	-1.639740e-001
2.588710267818249e-004	-5.302061e-001	-1.926981e-001
2.602661160675391e-004	-6.024327e-001	-2.194758e-001
2.616612053532535e-004	-6.693228e-001	-2.443073e-001
2.630562946389678e-004	-7.308763e-001	-2.671925e-001
2.644513839246821e-004	-7.870933e-001	-2.881315e-001
2.658464732103963e-004	-8.379736e-001	-3.071242e-001
2.672415624961106e-004	-8.835174e-001	-3.241706e-001
2.698922321389678e-004	-9.487161e-001	-3.487559e-001
2.725429017818249e-004	-9.871863e-001	-3.634675e-001
2.751935714246821e-004	-9.989280e-001	-3.683052e-001
2.778442410675392e-004	-9.839412e-001	-3.632692e-001
2.804949107103963e-004	-9.422260e-001	-3.483593e-001
2.831455803532535e-004	-8.737823e-001	-3.235756e-001
2.857962499961106e-004	-7.786102e-001	-2.889181e-001
2.869820758889678e-004	-7.289293e-001	-2.707597e-001
2.881679017818249e-004	-6.759915e-001	-2.513885e-001
2.893537276746821e-004	-6.197968e-001	-2.308045e-001
2.905395535675392e-004	-5.603452e-001	-2.090078e-001
2.917253794603963e-004	-4.976368e-001	-1.859984e-001
2.929112053532535e-004	-4.316714e-001	-1.617761e-001
2.940970312461106e-004	-3.624492e-001	-1.363411e-001
2.947945758889678e-004	-3.210621e-001	-1.211276e-001
2.954921205318249e-004	-2.792614e-001	-1.057576e-001
2.961896651746821e-004	-2.370472e-001	-9.023127e-002
2.968872098175392e-004	-1.944194e-001	-7.454852e-002
2.975847544603963e-004	-1.513780e-001	-5.870936e-002
2.982822991032535e-004	-1.079230e-001	-4.271381e-002
2.989798437461106e-004	-6.405442e-002	-2.656186e-002
2.993286160675392e-004	-4.214549e-002	-1.849382e-002
2.996773883889678e-004	-2.024260e-002	-1.042706e-002
3.000261607103963e-004	1.654242e-003	-2.361567e-003
3.003749330318249e-004	2.354504e-002	5.702648e-003
3.007237053532535e-004	4.542978e-002	1.376559e-002
3.010724776746821e-004	6.730848e-002	2.182725e-002
3.014212499961106e-004	8.918113e-002	2.988764e-002
3.021885491032535e-004	1.373495e-001	4.764167e-002
3.029558482103963e-004	1.849263e-001	6.518230e-002
3.037231473175392e-004	2.319116e-001	8.250955e-002
3.044904464246821e-004	2.783054e-001	9.962341e-002
3.052577455318249e-004	3.241077e-001	1.165239e-001
3.060250446389678e-004	3.693185e-001	1.332110e-001
3.067923437461106e-004	4.139377e-001	1.496847e-001
3.081176785675392e-004	4.893353e-001	1.775338e-001
3.094430133889678e-004	5.602065e-001	2.037294e-001
3.107683482103963e-004	6.265513e-001	2.282715e-001
3.120936830318249e-004	6.883696e-001	2.511601e-001
3.134190178532535e-004	7.456615e-001	2.723952e-001
3.147443526746821e-004	7.984269e-001	2.919767e-001
3.160696874961106e-004	8.466660e-001	3.099048e-001
3.189296205318250e-004	9.283316e-001	3.404131e-001
3.217895535675392e-004	9.789783e-001	3.595209e-001
3.246494866032535e-004	9.986061e-001	3.672281e-001
3.275094196389678e-004	9.872149e-001	3.635348e-001
3.303693526746821e-004	9.448048e-001	3.484409e-001
3.332292857103964e-004	8.713758e-001	3.219465e-001
3.360892187461107e-004	7.669279e-001	2.840516e-001
3.372750446389678e-004	7.162089e-001	2.655812e-001
3.384608705318250e-004	6.623156e-001	2.459276e-001
3.396466964246821e-004	6.052478e-001	2.250908e-001
3.408325223175392e-004	5.450056e-001	2.030708e-001
3.420183482103964e-004	4.815890e-001	1.798675e-001
3.432041741032535e-004	4.149980e-001	1.554809e-001
3.443899999961107e-004	3.452327e-001	1.299112e-001
3.450875446389678e-004	3.035758e-001	1.146320e-001
3.457850892818250e-004	2.615399e-001	9.920609e-002
3.464826339246821e-004	2.191250e-001	8.363352e-002
3.471801785675392e-004	1.763310e-001	6.791427e-002
3.478777232103964e-004	1.331579e-001	5.204833e-002
3.485752678532535e-004	8.960582e-002	3.603572e-002
3.492728124961107e-004	4.567464e-002	1.987641e-002
3.496215848175392e-004	2.374800e-002	1.180816e-002
3.499703571389678e-004	1.836229e-003	3.743503e-003
3.503191294603964e-004	-2.006066e-002	-4.317554e-003
3.506679017818250e-004	-4.194267e-002	-1.237501e-002
3.510166741032535e-004	-6.380980e-002	-2.042887e-002
3.513654464246821e-004	-8.566204e-002	-2.847913e-002
3.517142187461107e-004	-1.074994e-001	-3.652579e-002
3.525512723175392e-004	-1.599654e-001	-5.586663e-002
3.533883258889678e-004	-2.116383e-001	-7.492577e-002
3.542253794603964e-004	-2.625180e-001	-9.370320e-002
3.550624330318250e-004	-3.126046e-001	-1.121989e-001
3.558994866032535e-004	-3.618981e-001	-1.304129e-001
3.567365401746821e-004	-4.103985e-001	-1.483452e-001
3.575735937461107e-004	-4.581057e-001	-1.659958e-001
3.589686830318250e-004	-5.353964e-001	-1.946213e-001
3.603637723175392e-004	-6.073173e-001	-2.212881e-001
3.617588616032535e-004	-6.738684e-001	-2.459963e-001
3.631539508889678e-004	-7.350497e-001	-2.687458e-001
3.645490401746821e-004	-7.908612e-001	-2.895366e-001
3.659441294603964e-004	-8.413029e-001	-3.083687e-001
3.673392187461107e-004	-8.863748e-001	-3.252421e-001
3.699898883889678e-004	-9.505645e-001	-3.494565e-001
3.726405580318250e-004	-9.880419e-001	-3.638025e-001
3.752912276746822e-004	-9.988071e-001	-3.682802e-001
3.779418973175393e-004	-9.828600e-001	-3.628894e-001
3.805925669603964e-004	-9.402007e-001	-3.476302e-001
3.832432366032536e-004	-8.708291e-001	-3.225027e-001
3.858939062461107e-004	-7.747452e-001	-2.875067e-001
3.870797321389679e-004	-7.247164e-001	-2.692190e-001
3.882655580318250e-004	-6.714580e-001	-2.497287e-001
3.894513839246822e-004	-6.149702e-001	-2.290356e-001
3.906372098175393e-004	-5.552528e-001	-2.071400e-001
3.918230357103964e-004	-4.923060e-001	-1.840416e-001
3.930088616032536e-004	-4.261296e-001	-1.597406e-001
3.941946874961107e-004	-3.567237e-001	-1.342369e-001
3.948922321389679e-004	-3.152451e-001	-1.189891e-001
3.955897767818250e-004	-2.733645e-001	-1.035891e-001
3.962873214246822e-004	-2.310817e-001	-8.803690e-002
3.969848660675393e-004	-1.883969e-001	-7.233258e-002
3.976824107103964e-004	-1.453100e-001	-5.647610e-002
3.983799553532536e-004	-1.018210e-001	-4.046747e-002
3.990774999961107e-004	-5.792993e-002	-2.430668e-002
3.994262723175393e-004	-3.601427e-002	-1.623589e-002
3.997750446389679e-004	-1.410759e-002	-8.167459e-003
4.001238169603964e-004	7.790087e-003	-1.013920e-004
4.004725892818250e-004	2.967878e-002	7.962314e-003
4.008213616032536e-004	5.155847e-002	1.602366e-002
4.011701339246822e-004	7.342918e-002	2.408264e-002
4.015189062461107e-004	9.529089e-002	3.213927e-002
4.023559598175393e-004	1.478404e-001	5.150895e-002
4.031930133889679e-004	1.996292e-001	7.060379e-002
4.040300669603964e-004	2.506573e-001	8.942378e-002
4.048671205318250e-004	3.009247e-001	1.079689e-001
4.057041741032536e-004	3.504315e-001	1.262392e-001
4.065412276746822e-004	3.991776e-001	1.442347e-001
4.073782812461107e-004	4.471630e-001	1.619553e-001
