time	V(g1)	V(n002)
1.656027685365868e-05	-2.492078e-01	1.596741e+00
1.660910497865868e-05	-2.542138e-01	1.604627e+00
1.665793310365868e-05	-2.589806e-01	1.611322e+00
1.670676122865868e-05	-2.635036e-01	1.616940e+00
1.675558935365868e-05	-2.677786e-01	1.621593e+00
1.680441747865869e-05	-2.718016e-01	1.625389e+00
1.685324560365869e-05	-2.755688e-01	1.628432e+00
1.690207372865869e-05	-2.790766e-01	1.630819e+00
1.695090185365869e-05	-2.823218e-01	1.632646e+00
1.699972997865869e-05	-2.853012e-01	1.633999e+00
1.704855810365869e-05	-2.880121e-01	1.634962e+00
1.709738622865869e-05	-2.904520e-01	1.635610e+00
1.714621435365870e-05	-2.926185e-01	1.636011e+00
1.719504247865870e-05	-2.945096e-01	1.636228e+00
1.724387060365870e-05	-2.961236e-01	1.636316e+00
1.729269872865870e-05	-2.974588e-01	1.636332e+00
1.734152685365870e-05	-2.985140e-01	1.636326e+00
1.739340673647120e-05	-2.993274e-01	1.636317e+00
1.744528661928370e-05	-2.998224e-01	1.636308e+00
1.749716650209620e-05	-2.999991e-01	1.636300e+00
1.754904638490871e-05	-2.998574e-01	1.636291e+00
1.760092626772121e-05	-2.993974e-01	1.636282e+00
1.765280615053371e-05	-2.986191e-01	1.636274e+00
1.770468603334621e-05	-2.975224e-01	1.636265e+00
1.771078954897121e-05	-2.973727e-01	1.636264e+00
1.772299658022121e-05	-2.970601e-01	1.636262e+00
1.772604833803371e-05	-2.969792e-01	1.636261e+00
1.773215185365871e-05	-2.968141e-01	1.636259e+00
1.773240219316676e-05	-2.968073e-01	1.636259e+00
1.774634968004420e-05	-2.964133e-01	1.636251e+00
1.776029716692165e-05	-2.959966e-01	1.636232e+00
1.777424465379909e-05	-2.955573e-01	1.636203e+00
1.778819214067653e-05	-2.950952e-01	1.636164e+00
1.780213962755397e-05	-2.946105e-01	1.636115e+00
1.781608711443142e-05	-2.941031e-01	1.636055e+00
1.783003460130886e-05	-2.935729e-01	1.635986e+00
1.787886272630886e-05	-2.915401e-01	1.635635e+00
1.792769085130886e-05	-2.892330e-01	1.635057e+00
1.797651897630886e-05	-2.866536e-01	1.634187e+00
1.802534710130886e-05	-2.838044e-01	1.632951e+00
1.807417522630886e-05	-2.806881e-01	1.631268e+00
1.812300335130886e-05	-2.773077e-01	1.629051e+00
1.817183147630887e-05	-2.736662e-01	1.626209e+00
1.822065960130887e-05	-2.697672e-01	1.622644e+00
1.826948772630887e-05	-2.656143e-01	1.618253e+00
1.831831585130887e-05	-2.612114e-01	1.612930e+00
1.836714397630887e-05	-2.565627e-01	1.606562e+00
1.841597210130887e-05	-2.516724e-01	1.599036e+00
1.846480022630887e-05	-2.465454e-01	1.590235e+00
1.851362835130887e-05	-2.411863e-01	1.580039e+00
1.856245647630888e-05	-2.356002e-01	1.568328e+00
1.861128460130888e-05	-2.297923e-01	1.554980e+00
1.866011272630888e-05	-2.237682e-01	1.539872e+00
1.870894085130888e-05	-2.175335e-01	1.522883e+00
1.875776897630888e-05	-2.110940e-01	1.503891e+00
1.880659710130888e-05	-2.044559e-01	1.482776e+00
1.885542522630888e-05	-1.976253e-01	1.459421e+00
1.890425335130889e-05	-1.906088e-01	1.433712e+00
1.895308147630889e-05	-1.834128e-01	1.405537e+00
1.900190960130889e-05	-1.760442e-01	1.374788e+00
1.905073772630889e-05	-1.685100e-01	1.341363e+00
1.909956585130889e-05	-1.608171e-01	1.305164e+00
1.914839397630889e-05	-1.529729e-01	1.266101e+00
1.919722210130889e-05	-1.449847e-01	1.224086e+00
1.924605022630890e-05	-1.368601e-01	1.179043e+00
1.929487835130890e-05	-1.286066e-01	1.130900e+00
1.934370647630890e-05	-1.202322e-01	1.079594e+00
1.939253460130890e-05	-1.117445e-01	1.025071e+00
1.949019085130890e-05	-9.446181e-02	9.061981e-01
1.958784710130891e-05	-7.682357e-02	7.740300e-01
1.968550335130891e-05	-5.889618e-02	6.284738e-01
1.973433147630891e-05	-4.984510e-02	5.506923e-01
1.978315960130891e-05	-4.074712e-02	4.696061e-01
1.983198772630891e-05	-3.161078e-02	3.852523e-01
1.988081585130891e-05	-2.244469e-02	2.976794e-01
1.992964397630892e-05	-1.325748e-02	2.069471e-01
1.997847210130892e-05	-4.057790e-03	1.131265e-01
2.002730022630892e-05	5.145719e-03	1.630029e-02
2.007612835130892e-05	1.434438e-02	-8.343773e-02
2.012495647630892e-05	2.352955e-02	-1.859824e-01
2.017378460130892e-05	3.269257e-02	-2.912177e-01
2.022261272630892e-05	4.182482e-02	-3.990162e-01
2.032026897630893e-05	5.996267e-02	-6.217421e-01
2.041792522630893e-05	7.787484e-02	-8.529349e-01
2.056440960130893e-05	1.041727e-01	-1.212539e+00
2.071089397630894e-05	1.295888e-01	-1.582806e+00
2.085737835130894e-05	1.539079e-01	-1.957888e+00
2.100386272630895e-05	1.769241e-01	-2.331480e+00
2.115034710130895e-05	1.984426e-01	-2.696976e+00
2.129683147630895e-05	2.182813e-01	-3.047648e+00
2.144331585130896e-05	2.362722e-01	-3.376822e+00
2.158980022630896e-05	2.522630e-01	-3.678062e+00
2.173628460130897e-05	2.661183e-01	-3.945350e+00
2.188276897630897e-05	2.777210e-01	-4.173254e+00
2.202925335130898e-05	2.869726e-01	-4.357076e+00
2.212690960130898e-05	2.917948e-01	-4.453207e+00
2.222456585130898e-05	2.955187e-01	-4.527131e+00
2.232222210130898e-05	2.981304e-01	-4.578160e+00
2.241987835130899e-05	2.996199e-01	-4.605818e+00
2.251753460130899e-05	2.999818e-01	-4.609848e+00
2.261519085130899e-05	2.992146e-01	-4.590219e+00
2.271284710130900e-05	2.973212e-01	-4.547120e+00
2.281050335130900e-05	2.943088e-01	-4.480963e+00
2.290815960130900e-05	2.901886e-01	-4.392375e+00
2.300581585130900e-05	2.849763e-01	-4.282188e+00
2.315230022630901e-05	2.751539e-01	-4.078714e+00
2.329878460130901e-05	2.630023e-01	-3.833236e+00
2.344526897630902e-05	2.486243e-01	-3.550789e+00
2.359175335130902e-05	2.321417e-01	-3.237068e+00
2.373823772630902e-05	2.136940e-01	-2.898272e+00
2.388472210130903e-05	1.934373e-01	-2.540925e+00
2.403120647630903e-05	1.715431e-01	-2.171706e+00
2.417769085130904e-05	1.481968e-01	-1.797266e+00
2.432417522630904e-05	1.235960e-01	-1.424050e+00
2.447065960130905e-05	9.794890e-02	-1.058141e+00
2.461714397630905e-05	7.147266e-02	-7.051033e-01
2.471480022630905e-05	5.347164e-02	-4.793556e-01
2.476362835130905e-05	4.439139e-02	-3.698577e-01
