time	V(g1)	V(n002)
1.434273883747561e-05	6.016973e-02	-6.698665e-01
1.441249330176133e-05	5.409216e-02	-5.928706e-01
1.448224776604704e-05	4.792869e-02	-5.162305e-01
1.455200223033275e-05	4.167933e-02	-4.399462e-01
1.462175669461847e-05	3.534408e-02	-3.640177e-01
1.469151115890418e-05	2.892294e-02	-2.884449e-01
1.476126562318989e-05	2.241590e-02	-2.132279e-01
1.485892187318989e-05	1.327890e-02	-1.103691e-01
1.490774999818989e-05	8.689490e-03	-5.982982e-02
1.495657812318989e-05	4.091908e-03	-9.954255e-03
1.500540624818989e-05	-5.095259e-04	3.920836e-02
1.505423437318989e-05	-5.110480e-03	8.761150e-02
1.510306249818989e-05	-9.706625e-03	1.352115e-01
1.520071874818989e-05	-1.886719e-02	2.278413e-01
1.529837499818989e-05	-2.795674e-02	3.168054e-01
1.539603124818989e-05	-3.694107e-02	4.018573e-01
1.554251562318990e-05	-5.014645e-02	5.216730e-01
1.568899999818990e-05	-6.292732e-02	6.317542e-01
1.583548437318991e-05	-7.517550e-02	7.318220e-01
1.598196874818991e-05	-8.678731e-02	8.217897e-01
1.612845312318992e-05	-9.766445e-02	9.017387e-01
1.627493749818992e-05	-1.077148e-01	9.718885e-01
1.642142187318992e-05	-1.168534e-01	1.032566e+00
1.656790624818993e-05	-1.250028e-01	1.084170e+00
1.671439062318993e-05	-1.320940e-01	1.127139e+00
1.686087499818994e-05	-1.380670e-01	1.161917e+00
1.700735937318994e-05	-1.428713e-01	1.188922e+00
1.715384374818994e-05	-1.464661e-01	1.208521e+00
1.730032812318995e-05	-1.488211e-01	1.221004e+00
1.744681249818995e-05	-1.499162e-01	1.226564e+00
1.759329687318996e-05	-1.497423e-01	1.225293e+00
1.773978124818996e-05	-1.483009e-01	1.217169e+00
1.788626562318997e-05	-1.456040e-01	1.202060e+00
1.803274999818997e-05	-1.416745e-01	1.179731e+00
1.817923437318997e-05	-1.365458e-01	1.149860e+00
1.832571874818998e-05	-1.302612e-01	1.112058e+00
1.847220312318998e-05	-1.228738e-01	1.065889e+00
1.861868749818999e-05	-1.144464e-01	1.010906e+00
1.876517187318999e-05	-1.050501e-01	9.466805e-01
1.891165624818999e-05	-9.476458e-02	8.728341e-01
1.905814062319000e-05	-8.367684e-02	7.890763e-01
1.920462499819000e-05	-7.188077e-02	6.952366e-01
1.935110937319001e-05	-5.947621e-02	5.912962e-01
1.949759374819001e-05	-4.656818e-02	4.774153e-01
1.959524999819001e-05	-3.773693e-02	3.961426e-01
1.969290624819002e-05	-2.876364e-02	3.107700e-01
1.979056249819002e-05	-1.968210e-02	2.215040e-01
1.988821874819002e-05	-1.052648e-02	1.285970e-01
1.993704687319002e-05	-5.931645e-03	8.086975e-02
1.998587499819003e-05	-1.331233e-03	3.234804e-02
2.003470312319003e-05	3.270433e-03	-1.692360e-02
2.008353124819003e-05	7.869021e-03	-6.689779e-02
2.013235937319003e-05	1.246020e-02	-1.175243e-01
2.023001562319003e-05	2.160307e-02	-2.205204e-01
2.030674553390432e-05	2.877160e-02	-3.035076e-01
2.038347544461861e-05	3.583299e-02	-3.867913e-01
2.046020535533290e-05	4.278722e-02	-4.703716e-01
2.053693526604718e-05	4.963431e-02	-5.542485e-01
2.061366517676147e-05	5.637425e-02	-6.384219e-01
2.069039508747576e-05	6.300704e-02	-7.228919e-01
2.076712499819005e-05	6.953268e-02	-8.076585e-01
2.087175669461862e-05	7.819638e-02	-9.230445e-01
2.097638839104720e-05	8.643860e-02	-1.034346e+00
2.108102008747577e-05	9.425933e-02	-1.141562e+00
2.118565178390435e-05	1.016586e-01	-1.244694e+00
2.129028348033292e-05	1.086364e-01	-1.343741e+00
2.139491517676149e-05	1.151926e-01	-1.438703e+00
2.149954687319007e-05	1.213274e-01	-1.529580e+00
2.160417856961864e-05	1.269039e-01	-1.613093e+00
2.170881026604722e-05	1.318858e-01	-1.687876e+00
2.181344196247579e-05	1.362732e-01	-1.753928e+00
2.191807365890437e-05	1.400661e-01	-1.811252e+00
2.202270535533294e-05	1.432645e-01	-1.859845e+00
2.212733705176151e-05	1.458685e-01	-1.899709e+00
2.223196874819009e-05	1.478779e-01	-1.930842e+00
2.231567410533295e-05	1.489956e-01	-1.947616e+00
2.239937946247581e-05	1.496997e-01	-1.957833e+00
2.248308481961867e-05	1.499903e-01	-1.961491e+00
2.256679017676153e-05	1.498674e-01	-1.958592e+00
2.265049553390439e-05	1.493310e-01	-1.949135e+00
2.273420089104725e-05	1.483810e-01	-1.933120e+00
2.281790624819011e-05	1.470175e-01	-1.910547e+00
2.292951339104725e-05	1.445190e-01	-1.869193e+00
2.304112053390440e-05	1.413586e-01	-1.818484e+00
2.315272767676154e-05	1.375362e-01	-1.758417e+00
2.326433481961869e-05	1.330520e-01	-1.688995e+00
2.337594196247584e-05	1.279058e-01	-1.610216e+00
2.348754910533298e-05	1.220977e-01	-1.522080e+00
2.359915624819013e-05	1.156277e-01	-1.424588e+00
2.369681249819013e-05	1.094843e-01	-1.333710e+00
2.379446874819013e-05	1.029938e-01	-1.239918e+00
2.389212499819014e-05	9.615613e-02	-1.143210e+00
2.398978124819014e-05	8.897134e-02	-1.043588e+00
2.408743749819014e-05	8.143942e-02	-9.410513e-01
2.418509374819015e-05	7.356035e-02	-8.355997e-01
2.428274999819015e-05	6.533416e-02	-7.272335e-01
2.435250446247586e-05	5.932553e-02	-6.500012e-01
2.442225892676158e-05	5.323270e-02	-5.731547e-01
2.449201339104730e-05	4.705566e-02	-4.966940e-01
2.456176785533302e-05	4.079441e-02	-4.206191e-01
2.463152231961873e-05	3.444896e-02	-3.449300e-01
2.470127678390445e-05	2.801930e-02	-2.696267e-01
2.477103124819016e-05	2.150543e-02	-1.947091e-01
2.486868749819017e-05	1.236188e-02	-9.230520e-02
2.491751562319017e-05	7.770490e-03	-4.200993e-02
2.496634374819017e-05	3.171791e-03	7.611522e-03
2.501517187319017e-05	-1.429894e-03	5.651053e-02
2.506399999819017e-05	-6.030232e-03	1.046412e-01
2.511282812319017e-05	-1.062489e-02	1.519606e-01
2.521048437319018e-05	-1.977991e-02	2.440075e-01
2.530814062319018e-05	-2.886047e-02	3.323641e-01
2.540579687319018e-05	-3.783241e-02	4.167896e-01
2.555228124819019e-05	-5.101293e-02	5.356414e-01
2.569876562319019e-05	-6.376161e-02	6.447452e-01
2.584524999819019e-05	-7.597054e-02	7.438380e-01
2.599173437319020e-05	-8.753636e-02	8.328476e-01
2.613821874819020e-05	-9.836118e-02	9.118678e-01
2.628470312319021e-05	-1.083533e-01	9.811286e-01
2.643118749819021e-05	-1.174283e-01	1.040964e+00
2.657767187319021e-05	-1.255092e-01	1.091780e+00
2.672415624819022e-05	-1.325276e-01	1.134017e+00
2.687064062319022e-05	-1.384242e-01	1.168119e+00
2.701712499819023e-05	-1.431490e-01	1.194504e+00
2.716360937319023e-05	-1.466620e-01	1.213535e+00
2.731009374819024e-05	-1.489334e-01	1.225495e+00
2.745657812319024e-05	-1.499442e-01	1.230573e+00
2.760306249819024e-05	-1.496856e-01	1.228853e+00
2.774954687319025e-05	-1.481599e-01	1.220305e+00
2.789603124819025e-05	-1.453800e-01	1.204790e+00
2.804251562319026e-05	-1.413695e-01	1.182067e+00
2.818899999819026e-05	-1.361622e-01	1.151806e+00
2.833548437319026e-05	-1.298023e-01	1.113613e+00
2.848196874819027e-05	-1.223436e-01	1.067051e+00
2.862845312319027e-05	-1.138493e-01	1.011670e+00
2.877493749819028e-05	-1.043912e-01	9.470417e-01
2.892142187319028e-05	-9.404935e-02	8.727914e-01
2.906790624819029e-05	-8.291140e-02	7.886330e-01
2.921439062319029e-05	-7.107159e-02	6.944029e-01
2.936087499819029e-05	-5.863015e-02	5.900907e-01
2.950735937319030e-05	-4.569240e-02	4.758671e-01
2.960501562319030e-05	-3.684544e-02	3.943875e-01
2.970267187319030e-05	-2.785980e-02	3.088297e-01
2.980032812319031e-05	-1.876930e-02	2.194038e-01
2.989798437319031e-05	-9.608163e-03	1.263660e-01
2.994681249819031e-05	-5.011871e-03	7.858550e-02
2.999564062319031e-05	-4.108611e-04	3.001920e-02
3.004446874819031e-05	4.190535e-03	-1.928787e-02
3.009329687319032e-05	8.787988e-03	-6.928787e-02
3.014212499819032e-05	1.337717e-02	-1.199302e-01
3.023978124819032e-05	2.251345e-02	-2.229259e-01
3.031651115890461e-05	2.967433e-02	-3.058840e-01
3.039324106961890e-05	3.672603e-02	-3.891064e-01
3.046997098033318e-05	4.366855e-02	-4.725933e-01
3.054670089104747e-05	5.050190e-02	-5.563445e-01
3.062343080176176e-05	5.722608e-02	-6.403602e-01
3.070016071247605e-05	6.384108e-02	-7.246402e-01
3.077689062319033e-05	7.034690e-02	-8.091847e-01
3.088152231961891e-05	7.898023e-02	-9.242047e-01
3.098615401604749e-05	8.718910e-02	-1.035078e+00
3.109078571247606e-05	9.497349e-02	-1.141805e+00
3.119541740890463e-05	1.023334e-01	-1.244385e+00
3.130004910533320e-05	1.092689e-01	-1.342818e+00
3.140468080176178e-05	1.157798e-01	-1.437105e+00
3.150931249819036e-05	1.218664e-01	-1.527245e+00
3.161394419461893e-05	1.273920e-01	-1.609958e+00
3.171857589104751e-05	1.323216e-01	-1.683910e+00
3.182320758747608e-05	1.366552e-01	-1.749103e+00
3.192783928390465e-05	1.403928e-01	-1.805536e+00
3.203247098033323e-05	1.435343e-01	-1.853209e+00
3.213710267676180e-05	1.460799e-01	-1.892122e+00
