time	V(g1)	V(n002)
1.933018303390429e-05	-4.094087e-03	4.382232e-02
1.944876562319001e-05	-3.394675e-03	3.639572e-02
1.951852008747573e-05	-2.977239e-03	3.195416e-02
1.958827455176144e-05	-2.556128e-03	2.746816e-02
1.965802901604716e-05	-2.131341e-03	2.293773e-02
1.972778348033288e-05	-1.702880e-03	1.836286e-02
1.979753794461859e-05	-1.270743e-03	1.374355e-02
1.986729240890431e-05	-8.349304e-04	9.079804e-03
1.993704687319002e-05	-3.954430e-04	4.371623e-03
2.023001562319003e-05	1.440205e-03	-1.535485e-02
2.032069642676146e-05	2.005767e-03	-2.145345e-02
2.041137723033290e-05	2.560425e-03	-2.744162e-02
2.050205803390433e-05	3.104177e-03	-3.331936e-02
2.059273883747576e-05	3.637024e-03	-3.908668e-02
2.068341964104719e-05	4.158965e-03	-4.474358e-02
2.077410044461862e-05	4.670002e-03	-5.029005e-02
2.086478124819005e-05	5.170133e-03	-5.572610e-02
2.101126562319005e-05	5.948119e-03	-6.420190e-02
2.115774999819006e-05	6.662239e-03	-7.198390e-02
2.130423437319006e-05	7.312493e-03	-7.907209e-02
2.145071874819007e-05	7.898882e-03	-8.546648e-02
2.159720312319007e-05	8.421405e-03	-9.116707e-02
2.174368749819008e-05	8.880063e-03	-9.617385e-02
2.189017187319008e-05	9.274855e-03	-1.004868e-01
2.212733705176151e-05	9.721354e-03	-1.053176e-01
2.236450223033295e-05	9.953563e-03	-1.077839e-01
2.260166740890439e-05	9.971485e-03	-1.078857e-01
2.283883258747582e-05	9.775118e-03	-1.056232e-01
2.307599776604726e-05	9.364463e-03	-1.009961e-01
2.331316294461869e-05	8.739519e-03	-9.400463e-02
2.355032812319013e-05	7.900286e-03	-8.464870e-02
2.366891071247584e-05	7.414026e-03	-7.925729e-02
2.378749330176156e-05	6.894383e-03	-7.351601e-02
2.390607589104728e-05	6.341358e-03	-6.742486e-02
2.402465848033300e-05	5.754950e-03	-6.098385e-02
2.414324106961872e-05	5.135159e-03	-5.419298e-02
2.426182365890443e-05	4.481985e-03	-4.705223e-02
2.438040624819015e-05	3.795430e-03	-3.956163e-02
2.445016071247587e-05	3.384396e-03	-3.508987e-02
2.451991517676158e-05	2.968883e-03	-3.057730e-02
2.458966964104730e-05	2.548890e-03	-2.602393e-02
2.465942410533302e-05	2.124418e-03	-2.142974e-02
2.472917856961873e-05	1.695467e-03	-1.679475e-02
2.479893303390445e-05	1.262036e-03	-1.211895e-02
2.486868749819017e-05	8.241250e-04	-7.402339e-03
2.501517187319017e-05	-9.532625e-05	2.473549e-03
2.507795089104731e-05	-4.911036e-04	6.713463e-03
2.514072990890446e-05	-8.845970e-04	1.092268e-02
2.520350892676160e-05	-1.275806e-03	1.510120e-02
2.526628794461875e-05	-1.664732e-03	1.924902e-02
2.532906696247589e-05	-2.051374e-03	2.336614e-02
2.539184598033304e-05	-2.435731e-03	2.745257e-02
2.545462499819018e-05	-2.817805e-03	3.150830e-02
2.557320758747590e-05	-3.533180e-03	3.908062e-02
2.569179017676162e-05	-4.219895e-03	4.633384e-02
2.581037276604733e-05	-4.877949e-03	5.326796e-02
2.592895535533305e-05	-5.507342e-03	5.988298e-02
