time	V(n002)	I(R6)
1.784441294461854e-05	1.037682e-01	2.207834e-05
1.810250446247569e-05	9.887878e-02	2.103804e-05
1.836059598033284e-05	9.135933e-02	1.943815e-05
1.861868749818999e-05	8.120985e-02	1.727869e-05
1.873727008747570e-05	7.583241e-02	1.613456e-05
1.885585267676142e-05	7.011344e-02	1.491775e-05
1.897443526604714e-05	6.405295e-02	1.362829e-05
1.909301785533286e-05	5.765093e-02	1.226616e-05
1.921160044461858e-05	5.090739e-02	1.083136e-05
1.933018303390429e-05	4.382232e-02	9.323897e-06
1.944876562319001e-05	3.639572e-02	7.743771e-06
1.951852008747573e-05	3.195416e-02	6.798758e-06
1.958827455176144e-05	2.746816e-02	5.844290e-06
1.965802901604716e-05	2.293773e-02	4.880368e-06
1.972778348033288e-05	1.836286e-02	3.906991e-06
1.979753794461859e-05	1.374355e-02	2.924159e-06
1.986729240890431e-05	9.079804e-03	1.931873e-06
1.993704687319002e-05	4.371623e-03	9.301325e-07
2.023001562319003e-05	-1.535485e-02	-3.266990e-06
2.032069642676146e-05	-2.145345e-02	-4.564563e-06
2.041137723033290e-05	-2.744162e-02	-5.838642e-06
2.050205803390433e-05	-3.331936e-02	-7.089226e-06
2.059273883747576e-05	-3.908668e-02	-8.316315e-06
2.068341964104719e-05	-4.474358e-02	-9.519910e-06
2.077410044461862e-05	-5.029005e-02	-1.070001e-05
2.086478124819005e-05	-5.572610e-02	-1.185662e-05
2.101126562319005e-05	-6.420190e-02	-1.365998e-05
2.115774999819006e-05	-7.198390e-02	-1.531572e-05
2.130423437319006e-05	-7.907209e-02	-1.682385e-05
2.145071874819007e-05	-8.546648e-02	-1.818436e-05
2.159720312319007e-05	-9.116707e-02	-1.939725e-05
2.174368749819008e-05	-9.617385e-02	-2.046252e-05
2.189017187319008e-05	-1.004868e-01	-2.138017e-05
2.212733705176151e-05	-1.053176e-01	-2.240799e-05
2.236450223033295e-05	-1.077839e-01	-2.293274e-05
2.260166740890439e-05	-1.078857e-01	-2.295441e-05
2.283883258747582e-05	-1.056232e-01	-2.247301e-05
2.307599776604726e-05	-1.009961e-01	-2.148854e-05
2.331316294461869e-05	-9.400463e-02	-2.000099e-05
2.355032812319013e-05	-8.464870e-02	-1.801036e-05
2.366891071247584e-05	-7.925729e-02	-1.686325e-05
2.378749330176156e-05	-7.351601e-02	-1.564170e-05
2.390607589104728e-05	-6.742486e-02	-1.434572e-05
2.402465848033300e-05	-6.098385e-02	-1.297529e-05
2.414324106961872e-05	-5.419298e-02	-1.153042e-05
2.426182365890443e-05	-4.705223e-02	-1.001111e-05
2.438040624819015e-05	-3.956163e-02	-8.417367e-06
2.445016071247587e-05	-3.508987e-02	-7.465929e-06
2.451991517676158e-05	-3.057730e-02	-6.505809e-06
2.458966964104730e-05	-2.602393e-02	-5.537006e-06
2.465942410533302e-05	-2.142974e-02	-4.559520e-06
2.472917856961873e-05	-1.679475e-02	-3.573351e-06
2.479893303390445e-05	-1.211895e-02	-2.578500e-06
2.486868749819017e-05	-7.402339e-03	-1.574966e-06
2.501517187319017e-05	2.473549e-03	5.262871e-07
2.507795089104731e-05	6.713463e-03	1.428396e-06
2.514072990890446e-05	1.092268e-02	2.323974e-06
2.520350892676160e-05	1.510120e-02	3.213021e-06
2.526628794461875e-05	1.924902e-02	4.095536e-06
2.532906696247589e-05	2.336614e-02	4.971520e-06
2.539184598033304e-05	2.745257e-02	5.840973e-06
2.545462499819018e-05	3.150830e-02	6.703894e-06
2.557320758747590e-05	3.908062e-02	8.315025e-06
2.569179017676162e-05	4.633384e-02	9.858264e-06
2.581037276604733e-05	5.326796e-02	1.133361e-05
2.592895535533305e-05	5.988298e-02	1.274106e-05
2.604753794461877e-05	6.617890e-02	1.408062e-05
2.616612053390449e-05	7.215572e-02	1.535228e-05
2.628470312319021e-05	7.781344e-02	1.655605e-05
2.651489285533307e-05	8.759409e-02	1.863704e-05
2.674508258747593e-05	9.531203e-02	2.027916e-05
2.697527231961880e-05	1.009673e-01	2.148240e-05
2.720546205176166e-05	1.045598e-01	2.224677e-05
2.743565178390453e-05	1.060896e-01	2.257226e-05
2.766584151604739e-05	1.055567e-01	2.245888e-05
2.789603124819025e-05	1.029612e-01	2.190663e-05
2.805646651604740e-05	9.968326e-02	2.120920e-05
2.821690178390455e-05	9.553272e-02	2.032611e-05
2.837733705176169e-05	9.050954e-02	1.925735e-05
2.853777231961884e-05	8.461374e-02	1.800292e-05
2.869820758747599e-05	7.784530e-02	1.656283e-05
2.885864285533314e-05	7.020423e-02	1.493707e-05
2.901907812319028e-05	6.169053e-02	1.312564e-05
2.911673437319029e-05	5.622846e-02	1.196350e-05
2.921439062319029e-05	5.060229e-02	1.076644e-05
2.931204687319029e-05	4.481202e-02	9.534472e-06
2.940970312319030e-05	3.885764e-02	8.267583e-06
2.950735937319030e-05	3.273917e-02	6.965780e-06
2.960501562319030e-05	2.645659e-02	5.629061e-06
2.970267187319030e-05	2.000991e-02	4.257427e-06
2.974452455176173e-05	1.723841e-02	3.667747e-06
2.978637723033316e-05	1.445797e-02	3.076163e-06
2.982822990890459e-05	1.166857e-02	2.482674e-06
2.987008258747602e-05	8.870214e-03	1.887280e-06
2.991193526604745e-05	6.062911e-03	1.289981e-06
2.995378794461888e-05	3.246656e-03	6.907780e-07
2.999564062319031e-05	4.214498e-04	8.967017e-08
3.004446874819031e-05	-2.879431e-03	-6.126449e-07
3.009329687319032e-05	-6.172375e-03	-1.313271e-06
3.014212499819032e-05	-9.457382e-03	-2.012209e-06
3.019095312319032e-05	-1.273445e-02	-2.709458e-06
3.023978124819032e-05	-1.600358e-02	-3.405018e-06
3.028860937319032e-05	-1.926478e-02	-4.098889e-06
3.033743749819032e-05	-2.251804e-02	-4.791072e-06
3.044206919461890e-05	-2.947815e-02	-6.271947e-06
3.054670089104747e-05	-3.624758e-02	-7.712250e-06
3.065133258747605e-05	-4.282631e-02	-9.111980e-06
3.075596428390462e-05	-4.921435e-02	-1.047114e-05
3.086059598033319e-05	-5.541170e-02	-1.178972e-05
3.096522767676177e-05	-6.141836e-02	-1.306773e-05
3.106985937319034e-05	-6.723432e-02	-1.430517e-05
3.123727008747607e-05	-7.600193e-02	-1.617062e-05
3.140468080176178e-05	-8.373653e-02	-1.781628e-05
3.157209151604750e-05	-9.043813e-02	-1.924216e-05
3.173950223033322e-05	-9.610673e-02	-2.044824e-05
3.190691294461894e-05	-1.007423e-01	-2.143454e-05
3.207432365890465e-05	-1.043449e-01	-2.220105e-05
3.224173437319038e-05	-1.069145e-01	-2.274777e-05
3.244402231961895e-05	-1.080744e-01	-2.299456e-05
3.264631026604753e-05	-1.075599e-01	-2.288509e-05
3.284859821247611e-05	-1.053710e-01	-2.241936e-05
3.305088615890468e-05	-1.015076e-01	-2.159737e-05
3.325317410533326e-05	-9.596984e-02	-2.041911e-05
3.345546205176184e-05	-8.875762e-02	-1.888460e-05
3.365774999819042e-05	-7.987098e-02	-1.699382e-05
3.376935714104757e-05	-7.443813e-02	-1.583790e-05
3.388096428390471e-05	-6.871910e-02	-1.462109e-05
3.399257142676185e-05	-6.271391e-02	-1.334339e-05
3.410417856961900e-05	-5.642254e-02	-1.200480e-05
3.421578571247615e-05	-4.984500e-02	-1.060532e-05
3.432739285533329e-05	-4.298129e-02	-9.144956e-06
3.443899999819044e-05	-3.583141e-02	-7.623704e-06
3.450177901604759e-05	-3.176489e-02	-6.758487e-06
3.456455803390473e-05	-2.766889e-02	-5.886999e-06
3.462733705176187e-05	-2.354343e-02	-5.009241e-06
3.469011606961902e-05	-1.938850e-02	-4.125212e-06
3.475289508747617e-05	-1.520409e-02	-3.234912e-06
3.481567410533331e-05	-1.099021e-02	-2.338342e-06
3.487845312319045e-05	-6.746856e-03	-1.435501e-06
3.502493749819046e-05	3.128710e-03	6.656830e-07
3.509469196247618e-05	7.840874e-03	1.668271e-06
3.516444642676189e-05	1.251090e-02	2.661894e-06
3.523420089104761e-05	1.713879e-02	3.646552e-06
3.530395535533332e-05	2.172455e-02	4.622244e-06
3.537370981961904e-05	2.626817e-02	5.588972e-06
3.544346428390475e-05	3.076965e-02	6.546734e-06
3.551321874819047e-05	3.522900e-02	7.495531e-06
3.563877678390476e-05	4.313320e-02	9.177278e-06
3.576433481961905e-05	5.065306e-02	1.077725e-05
3.588989285533334e-05	5.778857e-02	1.229544e-05
3.601545089104763e-05	6.453973e-02	1.373186e-05
3.614100892676192e-05	7.090654e-02	1.508650e-05
3.626656696247621e-05	7.688901e-02	1.635936e-05
3.639212499819050e-05	8.248712e-02	1.755045e-05
3.670602008747622e-05	9.410108e-02	2.002151e-05
