Freq.	V(n002)
1.58489319246112e+05	(2.06153316846260e+01dB,-1.79846705624408e+02°)
1.99526231496888e+05	(2.06153698977864e+01dB,-1.79931957864343e+02°)
2.51188643150959e+05	(2.06153841919508e+01dB,1.79986412788161e+02°)
3.16227766016839e+05	(2.06153776522634e+01dB,1.79904059777447e+02°)
3.98107170553498e+05	(2.06153488672248e+01dB,1.79816597963004e+02°)
5.01187233627273e+05	(2.06152916241058e+01dB,1.79719370322411e+02°)
6.30957344480195e+05	(2.06151935684154e+01dB,1.79607200264317e+02°)
7.94328234724283e+05	(2.06150335385113e+01dB,1.79474116519382e+02°)
1.00000000000000e+06	(2.06147770012424e+01dB,1.79313036237640e+02°)
1.25892541179417e+06	(2.06143686064928e+01dB,1.79115389957831e+02°)
1.58489319246112e+06	(2.06137202612827e+01dB,1.78870669541898e+02°)
1.99526231496888e+06	(2.06126921687194e+01dB,1.78565877130701e+02°)
2.51188643150959e+06	(2.06110627879480e+01dB,1.78184849999171e+02°)
3.16227766016839e+06	(2.06084813535409e+01dB,1.77707433766280e+02°)
3.98107170553498e+06	(2.06043930124767e+01dB,1.77108476605117e+02°)
5.01187233627274e+06	(2.05979211861734e+01dB,1.76356623879367e+02°)
6.30957344480195e+06	(2.05876836745483e+01dB,1.75412913901355e+02°)
7.94328234724284e+06	(2.05715075386246e+01dB,1.74229226637481e+02°)
1.00000000000000e+07	(2.05459928464880e+01dB,1.72746746471772e+02°)
1.25892541179417e+07	(2.05058593362138e+01dB,1.70894816304503e+02°)
1.58489319246112e+07	(2.04430020880185e+01dB,1.68590956605508e+02°)
1.99526231496889e+07	(2.03452069490343e+01dB,1.65743479383920e+02°)
2.51188643150959e+07	(2.01945865756753e+01dB,1.62259033623993e+02°)
3.16227766016839e+07	(1.99660799811052e+01dB,1.58058200882576e+02°)
3.98107170553499e+07	(1.96268823926540e+01dB,1.53101660575164e+02°)
5.01187233627274e+07	(1.91382930315641e+01dB,1.47425043842809e+02°)
6.30957344480195e+07	(1.84614892991035e+01dB,1.41170621240676e+02°)
7.94328234724284e+07	(1.75670130080666e+01dB,1.34593134137152e+02°)
1.00000000000000e+08	(1.64443086228087e+01dB,1.28020353776996e+02°)
1.25892541179417e+08	(1.51056148573941e+01dB,1.21776431953079e+02°)
1.58489319246112e+08	(1.35814793059139e+01dB,1.16106950462563e+02°)
1.99526231496889e+08	(1.19110258097334e+01dB,1.11143032566156e+02°)
2.51188643150959e+08	(1.01326711233741e+01dB,1.06909888930350e+02°)
3.16227766016839e+08	(8.27868101758894e+00dB,1.03359262324072e+02°)
3.98107170553499e+08	(6.37357256232597e+00dB,1.00403630441511e+02°)
5.01187233627274e+08	(4.43480936549096e+00dB,9.79412138532603e+01°)
6.30957344480196e+08	(2.47434325197155e+00dB,9.58704198537320e+01°)
7.94328234724285e+08	(5.00186186773933e-01dB,9.40963651535859e+01°)
1.00000000000000e+09	(-1.48229613244847e+00dB,9.25325381451173e+01°)
