time	V(emisor)	V(n002)
1.625401116146207e-03	9.912570e-01	-7.106118e-01
1.642839732217635e-03	9.206326e-01	-7.833779e-01
1.660278348289063e-03	8.601171e-01	-8.458061e-01
1.677716964360491e-03	8.097107e-01	-8.978965e-01
1.695155580431919e-03	7.694132e-01	-9.396490e-01
1.712594196503348e-03	7.392248e-01	-9.710637e-01
1.730032812574776e-03	7.191453e-01	-9.921405e-01
1.744681250074775e-03	7.122280e-01	-9.994416e-01
1.759329687574775e-03	7.134632e-01	-9.982823e-01
1.773978125074775e-03	7.228418e-01	-9.886724e-01
1.790719196503346e-03	7.446183e-01	-9.661402e-01
1.807460267931917e-03	7.756608e-01	-9.341232e-01
1.824201339360488e-03	8.159694e-01	-8.926212e-01
1.840942410789059e-03	8.655440e-01	-8.416342e-01
1.857683482217630e-03	9.243847e-01	-7.811624e-01
1.874424553646201e-03	9.924914e-01	-7.112056e-01
1.891165625074772e-03	1.069864e+00	-6.317638e-01
1.901628794717629e-03	1.121526e+00	-5.788484e-01
1.912091964360486e-03	1.175080e+00	-5.240480e-01
1.922555134003343e-03	1.230524e+00	-4.673628e-01
1.933018303646200e-03	1.287859e+00	-4.087927e-01
1.943481473289057e-03	1.347086e+00	-3.483377e-01
1.953944642931914e-03	1.408203e+00	-2.859978e-01
1.964407812574771e-03	1.471212e+00	-2.217729e-01
1.969290625074771e-03	1.500745e+00	-1.916861e-01
1.974173437574771e-03	1.530392e+00	-1.614902e-01
1.979056250074771e-03	1.560155e+00	-1.311852e-01
1.983939062574771e-03	1.590033e+00	-1.007712e-01
1.988821875074770e-03	1.620025e+00	-7.024818e-02
1.993704687574770e-03	1.650133e+00	-3.961606e-02
1.998587500074770e-03	1.680356e+00	-8.874882e-03
2.002772767931913e-03	1.706258e+00	1.746625e-02
2.006958035789056e-03	1.732109e+00	4.374999e-02
2.011143303646198e-03	1.757907e+00	6.997634e-02
2.015328571503341e-03	1.783654e+00	9.614528e-02
2.019513839360484e-03	1.809349e+00	1.222568e-01
2.023699107217627e-03	1.834991e+00	1.483110e-01
2.027884375074770e-03	1.860582e+00	1.743077e-01
2.036952455431912e-03	1.915945e+00	2.305321e-01
2.046020535789055e-03	1.970154e+00	2.855731e-01
2.055088616146197e-03	2.023208e+00	3.394306e-01
2.064156696503340e-03	2.075109e+00	3.921048e-01
2.073224776860483e-03	2.125855e+00	4.435956e-01
