time	V(emisor)	V(vb)
2.043927901860483e-03	2.678979e-01	2.721497e-01
2.051600892931912e-03	3.130191e-01	3.179870e-01
2.059273884003341e-03	3.575699e-01	3.632449e-01
2.066946875074769e-03	4.015504e-01	4.079234e-01
2.080200223289054e-03	4.759011e-01	4.834541e-01
2.093453571503340e-03	5.458262e-01	5.544891e-01
2.106706919717625e-03	6.113258e-01	6.210282e-01
2.119960267931910e-03	6.723998e-01	6.830714e-01
2.133213616146196e-03	7.290482e-01	7.406189e-01
2.146466964360481e-03	7.812710e-01	7.936705e-01
2.159720312574767e-03	8.290682e-01	8.422263e-01
2.188319642931909e-03	9.102710e-01	9.247179e-01
2.216918973289051e-03	9.609553e-01	9.762065e-01
2.245518303646193e-03	9.811209e-01	9.966922e-01
2.274117634003336e-03	9.707680e-01	9.861750e-01
2.302716964360478e-03	9.298965e-01	9.446548e-01
2.331316294717620e-03	8.585063e-01	8.721316e-01
2.359915625074763e-03	7.565976e-01	7.686055e-01
2.371773884003334e-03	7.069979e-01	7.182186e-01
2.383632142931905e-03	6.542532e-01	6.646368e-01
2.395490401860476e-03	5.983635e-01	6.078601e-01
2.407348660789047e-03	5.393288e-01	5.478885e-01
2.419206919717619e-03	4.771492e-01	4.847220e-01
2.431065178646189e-03	4.118246e-01	4.183606e-01
2.442923437574761e-03	3.433550e-01	3.488044e-01
2.449898884003332e-03	3.024568e-01	3.072571e-01
2.456874330431903e-03	2.611763e-01	2.653214e-01
2.463849776860475e-03	2.195134e-01	2.229973e-01
2.470825223289046e-03	1.774683e-01	1.802849e-01
2.477800669717617e-03	1.350407e-01	1.371840e-01
2.484776116146188e-03	9.223088e-02	9.369467e-02
2.491751562574760e-03	4.903867e-02	4.981697e-02
2.495239285789045e-03	2.747713e-02	2.791321e-02
2.498727009003331e-03	5.927781e-03	6.021858e-03
2.502214732217617e-03	-1.560936e-02	-1.585710e-02
2.505702455431902e-03	-3.713430e-02	-3.772366e-02
2.509190178646188e-03	-5.864704e-02	-5.957783e-02
2.512677901860474e-03	-8.014758e-02	-8.141960e-02
2.516165625074759e-03	-1.016359e-01	-1.032490e-01
2.524536160789045e-03	-1.532737e-01	-1.557063e-01
2.532906696503330e-03	-2.041447e-01	-2.073847e-01
2.541277232217616e-03	-2.542491e-01	-2.582843e-01
2.549647767931901e-03	-3.035868e-01	-3.084051e-01
2.558018303646187e-03	-3.521579e-01	-3.577470e-01
2.566388839360472e-03	-3.999622e-01	-4.063100e-01
2.574759375074758e-03	-4.469999e-01	-4.540942e-01
