time	V(emisor)	V(n003)
1.339407812574784e-03	2.521592e+00	8.454036e-01
1.349173437574784e-03	2.487674e+00	8.111838e-01
1.358939062574784e-03	2.450744e+00	7.739108e-01
1.363821875074784e-03	2.431193e+00	7.541728e-01
1.368704687574783e-03	2.410943e+00	7.337251e-01
1.373587500074783e-03	2.390012e+00	7.125867e-01
1.378470312574783e-03	2.368421e+00	6.907777e-01
1.383353125074783e-03	2.346191e+00	6.683185e-01
1.388235937574783e-03	2.323342e+00	6.452304e-01
1.393118750074783e-03	2.299896e+00	6.215350e-01
1.398001562574783e-03	2.275877e+00	5.972546e-01
1.402884375074783e-03	2.251305e+00	5.724121e-01
1.412650000074783e-03	2.200601e+00	5.211349e-01
1.427298437574782e-03	2.121009e+00	4.406035e-01
1.435668973289068e-03	2.073505e+00	3.925192e-01
1.444039509003353e-03	2.025289e+00	3.436931e-01
1.452410044717639e-03	1.976362e+00	2.941250e-01
1.460780580431924e-03	1.926723e+00	2.438151e-01
1.469151116146210e-03	1.876373e+00	1.927634e-01
1.477521651860495e-03	1.825310e+00	1.409697e-01
1.485892187574781e-03	1.773537e+00	8.843423e-02
1.500540625074781e-03	1.683114e+00	-3.389470e-03
1.505423437574781e-03	1.652888e+00	-3.410117e-02
1.510306250074780e-03	1.622775e+00	-6.470904e-02
1.515189062574780e-03	1.592775e+00	-9.521310e-02
1.520071875074780e-03	1.562887e+00	-1.256133e-01
1.524954687574780e-03	1.533112e+00	-1.559098e-01
1.529837500074780e-03	1.503448e+00	-1.861024e-01
1.534720312574780e-03	1.473898e+00	-2.161912e-01
1.545183482217637e-03	1.410841e+00	-2.804388e-01
1.555646651860494e-03	1.349665e+00	-3.428248e-01
1.566109821503351e-03	1.290369e+00	-4.033492e-01
1.576572991146208e-03	1.232954e+00	-4.620119e-01
1.587036160789065e-03	1.177419e+00	-5.188129e-01
1.597499330431921e-03	1.123764e+00	-5.737523e-01
1.607962500074778e-03	1.071990e+00	-6.268301e-01
1.625401116146207e-03	9.912570e-01	-7.098452e-01
1.642839732217635e-03	9.206326e-01	-7.825336e-01
1.660278348289063e-03	8.601171e-01	-8.448952e-01
1.677716964360491e-03	8.097107e-01	-8.969301e-01
1.695155580431919e-03	7.694132e-01	-9.386382e-01
1.712594196503348e-03	7.392248e-01	-9.700196e-01
1.730032812574776e-03	7.191453e-01	-9.910743e-01
1.744681250074775e-03	7.122280e-01	-9.983678e-01
1.759329687574775e-03	7.134632e-01	-9.972100e-01
1.773978125074775e-03	7.228418e-01	-9.876106e-01
1.790719196503346e-03	7.446183e-01	-9.651027e-01
1.807460267931917e-03	7.756608e-01	-9.331201e-01
1.824201339360488e-03	8.159694e-01	-8.916627e-01
1.840942410789059e-03	8.655440e-01	-8.407306e-01
1.857683482217630e-03	9.243847e-01	-7.803237e-01
1.874424553646201e-03	9.924914e-01	-7.104420e-01
1.891165625074772e-03	1.069864e+00	-6.310856e-01
1.901628794717629e-03	1.121526e+00	-5.782270e-01
1.912091964360486e-03	1.175080e+00	-5.234855e-01
1.922555134003343e-03	1.230524e+00	-4.668612e-01
1.933018303646200e-03	1.287859e+00	-4.083540e-01
1.943481473289057e-03	1.347086e+00	-3.479640e-01
1.953944642931914e-03	1.408203e+00	-2.856912e-01
1.964407812574771e-03	1.471212e+00	-2.215355e-01
1.969290625074771e-03	1.500745e+00	-1.914811e-01
1.974173437574771e-03	1.530392e+00	-1.613177e-01
1.979056250074771e-03	1.560155e+00	-1.310454e-01
1.983939062574771e-03	1.590033e+00	-1.006641e-01
1.988821875074770e-03	1.620025e+00	-7.017392e-02
1.993704687574770e-03	1.650133e+00	-3.957480e-02
1.998587500074770e-03	1.680356e+00	-8.866750e-03
2.002772767931913e-03	1.706258e+00	1.744600e-02
2.006958035789056e-03	1.732109e+00	4.370141e-02
2.011143303646198e-03	1.757907e+00	6.989949e-02
2.015328571503341e-03	1.783654e+00	9.604022e-02
2.019513839360484e-03	1.809349e+00	1.221236e-01
2.023699107217627e-03	1.834991e+00	1.481497e-01
2.027884375074770e-03	1.860582e+00	1.741184e-01
2.036952455431912e-03	1.915945e+00	2.302821e-01
2.046020535789055e-03	1.970154e+00	2.852637e-01
2.055088616146197e-03	2.023208e+00	3.390631e-01
